Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Row ID,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Latitude,Longitude,point,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,HSOC Zones as of 2018-06-05,OWED Public Spaces,Central Market/Tenderloin Boundary Polygon - Updated,Parks Alliance CPSI (27+TL sites),ESNCAG - Boundary File,"Areas of Vulnerability, 2016"
2020/08/16 03:13:00 AM,2020/08/16,03:13,2020,Sunday,2020/08/16 03:14:00 AM,95319604083,953196,200491669,202290313,II,Initial,,04083,Assault,Aggravated Assault,"Firearm, Discharging in Grossly Negligent Manner",Open or Active,23RD ST \ ARKANSAS ST,23642000,Bayview,Potrero Hill,10,37.75482657770952,-122.39772873392515,"(37.75482657770952, -122.39772873392515)",54,2,9,26,,,,,,2
2020/08/16 03:38:00 AM,2020/08/16,03:38,2020,Sunday,2020/08/16 04:56:00 AM,95326228100,953262,200491738,202290404,II,Initial,,28100,Malicious Mischief,Vandalism,"Malicious Mischief, Breaking Windows",Open or Active,VALENCIA ST \ 15TH ST,24377000,Mission,Mission,9,37.76653957529556,-122.42204381448558,"(37.76653957529556, -122.42204381448558)",53,3,2,20,3,,,,,2
2020/08/16 01:40:00 PM,2020/08/16,13:40,2020,Sunday,2020/08/16 01:56:00 PM,95336264020,953362,200492463,202291631,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,04TH ST \ MINNA ST,24631000,Southern,Financial District/South Beach,6,37.78404443715923,-122.40371175457705,"(37.78404443715923, -122.40371175457705)",32,1,10,8,,,,,,1
2020/08/16 04:18:00 PM,2020/08/16,16:18,2020,Sunday,2020/08/16 04:18:00 PM,95335012010,953350,200492792,202292091,II,Initial,,12010,Weapons Offense,Weapons Offense,"Weapon, Carrying Concealed with Felony or Narcotics Conviction",Cite or Arrest Adult,ORTEGA ST \ 48TH AVE,27925000,Taraval,Sunset/Parkside,4,37.751003283475306,-122.50741622958954,"(37.751003283475306, -122.50741622958954)",39,10,7,35,,,,,,1
2020/08/12 10:00:00 PM,2020/08/12,22:00,2020,Wednesday,2020/08/15 08:30:00 AM,95300674000,953006,200489880,202280827,II,Initial,,74000,Missing Person,Missing Adult,Missing Adult,Open or Active,FILLMORE ST \ TURK ST,25973000,Northern,Western Addition,5,37.78049625961115,-122.43214039079034,"(37.78049625961115, -122.43214039079034)",97,4,11,39,,,,,,2
2020/08/14 02:00:00 PM,2020/08/14,14:00,2020,Friday,2020/08/15 12:23:00 AM,95321406244,953214,206121551,,II,Coplogic Initial,true,06244,Larceny Theft,Larceny - From Vehicle,"Theft, From Locked Vehicle, >$950",Open or Active,HEMLOCK ST \ LAGUNA ST,26523000,Northern,Japantown,5,37.786246576578144,-122.42824149689217,"(37.786246576578144, -122.42824149689217)",101,4,11,15,,,,,,2
2020/08/16 11:13:00 AM,2020/08/16,11:13,2020,Sunday,2020/08/16 11:13:00 AM,95329661030,953296,200492350,202291130,II,Initial,,61030,Other,Other,"Death Report, Cause Unknown",Open or Active,HYDE ST \ CALIFORNIA ST,25252000,Central,Nob Hill,3,37.790973190511274,-122.41739133606869,"(37.790973190511274, -122.41739133606869)",16,6,3,21,,,,,,1
2020/08/01 09:00:00 AM,2020/08/01,09:00,2020,Saturday,2020/08/15 02:57:00 PM,95324106372,953241,206121595,,II,Coplogic Initial,true,06372,Larceny Theft,Larceny Theft - Other,"Theft, Other Property, $50-$200",Open or Active,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,37.780699048573226,-122.40392088280285,"(37.780699048573226, -122.40392088280285)",32,1,10,34,,,,,,2
2020/08/15 12:00:00 PM,2020/08/15,12:00,2020,Saturday,2020/08/16 04:29:00 PM,95333471000,953334,200492758,202292132,II,Initial,,71000,Lost Property,Lost Property,Lost Property,Open or Active,PACIFIC AVE \ KEYES ALY,25065000,Central,Chinatown,3,37.796442748486754,-122.41051061313914,"(37.796442748486754, -122.41051061313914)",107,6,3,6,,,,,,2
2020/08/16 03:26:00 PM,2020/08/16,15:26,2020,Sunday,2020/08/16 03:34:00 PM,95338964020,953389,200492714,202291925,II,Initial,,64020,Non-Criminal,Other,Mental Health Detention,Open or Active,ARBALLO DR \ SERRANO DR,23098000,Taraval,Lakeshore,7,37.719109027120155,-122.48310424113126,"(37.719109027120155, -122.48310424113126)",42,10,8,16,,,,,,2
